tenure,MonthlyCharges,TotalCharges,Contract,InternetService
70,114.75,7842.3,Two year,Fiber optic
63,19.95,1234.8,Two year,No
6,20.0,109.2,Month-to-month,No
14,19.9,283.75,Month-to-month,No
69,26.0,1796.55,Two year,No
7,53.65,404.35,Month-to-month,DSL
3,79.65,251.75,Month-to-month,Fiber optic
58,61.05,3478.75,One year,DSL
11,25.2,321.05,Month-to-month,DSL
72,113.4,8164.1,Two year,Fiber optic
62,25.8,1563.95,Two year,No
2,19.85,51.6,Month-to-month,No
31,104.35,3205.6,Month-to-month,Fiber optic
1,23.45,23.45,Month-to-month,DSL
4,19.7,117.8,One year,No
47,95.2,4563,One year,Fiber optic
41,80.55,3263.9,One year,DSL
47,41.9,1875.25,Two year,DSL
1,35.45,35.45,Month-to-month,DSL
8,19.95,170.9,Month-to-month,No
34,84.75,2839.45,Two year,DSL
43,24.25,1077.95,Two year,No
4,50.55,235.65,Month-to-month,DSL
53,97.75,5043.2,One year,Fiber optic
69,90.65,6322.1,Two year,DSL
3,74.5,217.45,Month-to-month,Fiber optic
64,65.8,4068,One year,DSL
10,24.8,223.9,Month-to-month,No
25,20.6,541.5,Month-to-month,No
1,50.6,50.6,Month-to-month,DSL
32,87.65,2766.4,Month-to-month,Fiber optic
36,79.2,2854.95,Month-to-month,DSL
30,55.3,1530.6,Month-to-month,DSL
25,74.3,1863.8,One year,DSL
29,103.95,2964.8,Month-to-month,Fiber optic
1,76.0,76,Month-to-month,Fiber optic
57,109.4,6252.7,One year,Fiber optic
25,19.9,510.8,One year,No
32,106.35,3520.75,Month-to-month,Fiber optic
71,86.85,6263.8,Two year,DSL
4,35.0,135.75,Month-to-month,DSL
55,90.15,4916.95,One year,DSL
17,91.85,1574.45,Month-to-month,Fiber optic
63,24.65,1574.5,Two year,No
7,44.4,265.8,Month-to-month,DSL
72,117.8,8684.8,One year,Fiber optic
45,34.2,1596.6,One year,DSL
1,89.35,89.35,Month-to-month,Fiber optic
72,110.45,8058.85,Two year,Fiber optic
12,81.45,912,Month-to-month,Fiber optic
30,101.5,2917.65,Month-to-month,Fiber optic
72,112.9,8061.5,Month-to-month,Fiber optic
25,69.3,1813.1,Month-to-month,Fiber optic
27,85.2,2151.6,Month-to-month,Fiber optic
58,71.6,4230.25,Two year,DSL
2,45.0,96.45,Month-to-month,DSL
60,59.8,3561.15,One year,DSL
20,19.7,395.6,One year,No
63,83.0,5243.05,One year,DSL
14,19.75,309.35,One year,No
29,20.35,617.35,One year,No
1,68.95,68.95,Month-to-month,Fiber optic
29,89.65,2623.65,Month-to-month,Fiber optic
4,51.75,201.1,Month-to-month,DSL
70,115.55,8127.6,One year,Fiber optic
6,55.9,365.35,Month-to-month,DSL
4,94.75,422.4,Month-to-month,Fiber optic
46,19.75,856.5,Two year,No
9,44.4,348.15,Month-to-month,DSL
1,71.35,71.35,Month-to-month,Fiber optic
31,101.4,3143.65,Month-to-month,Fiber optic
1,75.35,75.35,Month-to-month,Fiber optic
45,73.85,3371,Two year,DSL
11,64.05,733.95,Month-to-month,DSL
63,109.85,7002.95,Month-to-month,Fiber optic
3,24.6,86.35,Month-to-month,No
16,64.25,1024,Two year,DSL
19,20.2,382.2,Month-to-month,No
71,79.1,5564.85,Two year,DSL
17,86.75,1410.25,One year,Fiber optic
50,44.8,2230.85,One year,DSL
2,71.3,157.75,Month-to-month,Fiber optic
34,19.7,675.6,Month-to-month,No
42,56.1,2386.85,One year,DSL
69,84.45,5848.6,One year,Fiber optic
9,44.2,403.35,Month-to-month,DSL
4,30.5,118.4,Month-to-month,DSL
54,114.65,6049.5,One year,Fiber optic
33,59.4,1952.8,One year,DSL
12,84.05,966.55,Month-to-month,Fiber optic
71,85.45,6300.85,One year,DSL
3,29.75,96.85,Month-to-month,DSL
7,75.15,525,Month-to-month,Fiber optic
38,20.05,741.5,Two year,No
19,19.9,357.7,One year,No
70,84.8,5917.55,Two year,DSL
54,30.4,1621.35,Month-to-month,DSL
56,65.2,3512.15,One year,DSL
65,59.6,3739.8,Two year,DSL
35,85.15,3030.6,One year,Fiber optic
63,81.55,5029.05,Month-to-month,Fiber optic
37,19.6,727.8,One year,No
4,90.05,368.1,Month-to-month,Fiber optic
10,98.7,973.25,Month-to-month,Fiber optic
1,70.15,70.15,Month-to-month,Fiber optic
70,19.8,1378.75,Two year,No
22,90.0,1993.8,Month-to-month,Fiber optic
7,78.5,571.05,Month-to-month,DSL
31,59.05,1882.8,Month-to-month,DSL
69,54.95,3772.5,Two year,DSL
30,104.1,3121.1,Month-to-month,Fiber optic
53,54.45,2854.55,Month-to-month,DSL
1,71.55,71.55,Month-to-month,Fiber optic
71,90.1,6310.9,Two year,DSL
37,36.65,1315,Month-to-month,DSL
69,110.55,7610.1,One year,Fiber optic
16,80.75,1321.3,Month-to-month,Fiber optic
1,19.95,19.95,Month-to-month,No
69,61.4,4059.85,Two year,DSL
21,111.2,2317.1,Month-to-month,Fiber optic
61,106.45,6300.15,Month-to-month,Fiber optic
38,105.0,4026.4,Month-to-month,Fiber optic
1,19.1,19.1,Month-to-month,No
23,73.65,1642.75,Month-to-month,DSL
4,50.4,206.6,Month-to-month,DSL
6,54.85,355.1,Month-to-month,DSL
19,75.9,1375.6,Month-to-month,DSL
64,69.25,4447.75,Two year,DSL
62,23.75,1446.8,One year,No
1,81.7,81.7,Month-to-month,Fiber optic
1,30.5,30.5,Month-to-month,DSL
8,29.35,216.45,Month-to-month,DSL
72,113.65,8124.2,Two year,Fiber optic
11,60.9,688.5,Month-to-month,DSL
25,20.1,486.05,Two year,No
26,105.75,2710.25,Month-to-month,Fiber optic
17,74.55,1215.8,Month-to-month,DSL
11,44.65,472.25,Month-to-month,DSL
68,20.5,1424.9,Two year,No
59,111.35,6519.75,Month-to-month,Fiber optic
9,50.8,463.6,One year,DSL
2,72.6,154.3,Month-to-month,Fiber optic
47,85.3,4045.65,Month-to-month,Fiber optic
33,54.6,1803.7,Month-to-month,DSL
46,19.95,862.4,Two year,No
65,110.8,7245.9,Two year,Fiber optic
48,29.5,1423.05,Month-to-month,DSL
2,46.0,84.5,Month-to-month,DSL
1,74.6,74.6,Month-to-month,Fiber optic
1,49.85,49.85,Month-to-month,DSL
26,80.7,2193,Month-to-month,Fiber optic
16,20.4,321.4,Month-to-month,No
49,106.65,5174.35,Two year,Fiber optic
32,20.35,707.5,One year,No
29,19.8,572.2,One year,No
2,24.3,38.45,Month-to-month,DSL
70,90.85,6470.1,Month-to-month,Fiber optic
51,93.65,4839.15,One year,Fiber optic
55,60.0,3316.1,One year,DSL
5,89.8,502.6,Month-to-month,Fiber optic
69,24.95,1718.35,Two year,No
14,50.2,668.85,Month-to-month,DSL
72,101.35,7323.15,One year,Fiber optic
71,61.4,4310.35,Two year,DSL
41,20.45,775.6,Month-to-month,No
26,45.8,1147,Month-to-month,DSL
29,78.9,2384.15,Month-to-month,Fiber optic
55,76.25,4154.55,One year,DSL
39,51.05,2066,Month-to-month,DSL
21,82.35,1852.85,Month-to-month,Fiber optic
48,34.7,1604.5,One year,DSL
71,59.7,4122.65,Two year,DSL
13,88.95,1161.75,Two year,DSL
4,20.15,84.5,Month-to-month,No
70,111.95,7795.95,Two year,Fiber optic
42,73.9,3160.55,One year,DSL
2,20.7,39.85,Month-to-month,No
13,20.4,261.3,Two year,No
6,45.5,285.2,Month-to-month,DSL
1,71.1,71.1,Month-to-month,Fiber optic
29,19.85,573.05,Month-to-month,No
59,51.7,3005.8,Month-to-month,DSL
65,45.25,2933.95,Two year,DSL
71,90.4,6668.05,Two year,DSL
51,83.4,4149.45,Month-to-month,Fiber optic
18,20.1,370.5,Two year,No
16,38.9,664.4,Month-to-month,DSL
34,116.15,3946.9,Two year,Fiber optic
17,80.05,1345.65,Month-to-month,Fiber optic
31,59.95,1848.8,One year,DSL
28,92.2,2568.15,One year,Fiber optic
53,92.55,4779.45,Month-to-month,Fiber optic
60,64.75,4039.5,One year,DSL
23,48.35,1067.15,One year,DSL
69,107.2,7317.1,One year,Fiber optic
25,20.75,499.4,Two year,No
49,98.7,4920.55,Month-to-month,Fiber optic
55,98.8,5617.75,Month-to-month,Fiber optic
16,85.35,1375.15,Month-to-month,Fiber optic
62,94.0,5757.2,One year,Fiber optic
58,93.4,5435.6,Month-to-month,Fiber optic
69,19.4,1346.2,Two year,No
1,76.2,76.2,Month-to-month,Fiber optic
27,56.15,1439.35,Month-to-month,DSL
49,81.35,4060.9,Two year,DSL
1,85.45,85.45,Month-to-month,Fiber optic
65,24.8,1600.95,One year,No
39,103.45,3994.45,Month-to-month,Fiber optic
43,86.1,3551.65,Month-to-month,Fiber optic
20,24.45,482.8,Month-to-month,DSL
12,85.05,999.8,Month-to-month,Fiber optic
6,19.65,100.9,Month-to-month,No
68,25.5,1821.8,Two year,No
47,66.05,3021.45,One year,DSL
62,115.55,7159.05,Two year,Fiber optic
56,98.7,5669.5,Month-to-month,Fiber optic
17,19.35,307,One year,No
35,80.05,2835.9,Month-to-month,Fiber optic
2,79.2,172.85,Month-to-month,Fiber optic
1,35.0,35,Month-to-month,DSL
48,103.25,5037.55,One year,Fiber optic
45,89.3,4192.15,Month-to-month,Fiber optic
70,90.15,6237.05,Two year,DSL
31,78.45,2435.15,Month-to-month,Fiber optic
59,25.0,1510.5,Two year,No
47,84.95,4018.05,One year,Fiber optic
32,18.95,613.95,Two year,No
38,70.6,2708.2,One year,DSL
59,83.25,4949.1,Month-to-month,Fiber optic
27,100.5,2673.45,One year,Fiber optic
58,94.3,5610.15,One year,Fiber optic
71,111.3,7985.9,Two year,Fiber optic
27,86.45,2401.05,Month-to-month,Fiber optic
65,103.15,6792.45,One year,Fiber optic
48,70.95,3629.2,One year,DSL
28,80.6,2244.95,Month-to-month,Fiber optic
19,24.7,465.85,Month-to-month,No
58,75.8,4415.75,Two year,DSL
53,100.3,5200.8,One year,Fiber optic
40,94.55,3640.45,Month-to-month,Fiber optic
1,19.25,19.25,Month-to-month,No
40,104.5,4036.85,Month-to-month,Fiber optic
61,25.45,1538.6,Two year,No
66,110.85,7491.75,One year,Fiber optic
40,40.25,1564.05,One year,DSL
15,99.7,1566.75,Month-to-month,Fiber optic
68,25.75,1686.15,Two year,No
12,80.45,950.2,Month-to-month,Fiber optic
1,19.4,19.4,Month-to-month,No
8,19.5,162.15,Two year,No
40,74.8,2971.7,Month-to-month,Fiber optic
72,102.65,7550.3,Two year,Fiber optic
9,72.9,651.4,Month-to-month,DSL
15,58.95,955.15,Month-to-month,DSL
1,19.45,19.45,Month-to-month,No
33,83.35,2757.85,Month-to-month,Fiber optic
38,19.95,756.4,Two year,No
55,64.75,3617.1,Two year,DSL
65,79.4,5071.9,Two year,DSL
4,54.7,235.05,Month-to-month,DSL
43,106.0,4532.3,One year,Fiber optic
18,35.2,607.3,Month-to-month,DSL
1,93.55,93.55,Month-to-month,Fiber optic
1,18.9,18.9,Month-to-month,No
3,70.3,208.85,Month-to-month,Fiber optic
41,20.65,875.55,Two year,No
16,88.45,1422.1,Month-to-month,Fiber optic
5,80.2,384.25,Month-to-month,Fiber optic
56,105.35,5794.45,Month-to-month,Fiber optic
28,25.7,734.6,Month-to-month,No
54,20.05,1102.4,Two year,No
1,19.5,19.5,Month-to-month,No
42,108.3,4586.15,One year,Fiber optic
66,105.65,6844.5,Two year,Fiber optic
8,84.0,613.4,Month-to-month,Fiber optic
14,25.55,372.45,Month-to-month,No
43,49.05,2076.2,Month-to-month,DSL
70,49.85,3370.2,Two year,DSL
31,89.3,2823,Month-to-month,Fiber optic
72,111.9,8071.05,Two year,Fiber optic
34,67.65,2339.3,Two year,DSL
19,19.8,344.5,One year,No
53,106.1,5769.75,One year,Fiber optic
3,40.3,92.5,Month-to-month,DSL
13,79.8,973.45,Month-to-month,Fiber optic
24,74.4,1712.9,One year,DSL
4,88.85,372.45,Month-to-month,Fiber optic
32,79.5,2665,Month-to-month,Fiber optic
39,40.3,1630.4,One year,DSL
72,109.75,7758.9,Two year,Fiber optic
60,105.9,6396.45,Month-to-month,Fiber optic
4,25.45,84.2,Month-to-month,No
72,24.75,1777.6,Two year,No
9,48.75,442.2,Month-to-month,DSL
29,39.5,1082.75,One year,DSL
18,23.75,424.5,One year,No
72,89.55,6448.85,Two year,DSL
2,20.05,42.7,Month-to-month,No
71,109.6,7854.15,One year,Fiber optic
8,19.55,161.15,Month-to-month,No
72,88.05,6425.65,Two year,DSL
71,70.85,4973.4,Two year,DSL
44,106.05,4510.8,One year,Fiber optic
47,24.55,1160.45,Two year,No
27,110.5,2857.6,One year,Fiber optic
1,49.75,49.75,Month-to-month,DSL
46,24.95,1165.9,One year,No
11,34.7,383.55,Month-to-month,DSL
41,99.8,4259.3,Month-to-month,Fiber optic
69,61.45,4131.2,Two year,DSL
13,19.95,253.8,One year,No
45,20.0,886.4,Two year,No
24,24.6,592.65,One year,No
65,25.75,1654.75,Two year,No
1,49.55,49.55,Month-to-month,DSL
51,76.4,3966.3,One year,DSL
11,20.0,211.95,One year,No
5,96.25,512.45,Month-to-month,Fiber optic
8,19.7,168.9,Month-to-month,No
71,80.4,5727.15,Two year,DSL
15,94.0,1505.45,Month-to-month,Fiber optic
28,20.5,563.05,Month-to-month,No
16,74.75,1129.35,Month-to-month,Fiber optic
53,64.15,3491.55,One year,DSL
14,59.45,780.85,Month-to-month,DSL
49,100.65,4917.75,Two year,Fiber optic
71,47.05,3263.6,Two year,DSL
45,20.85,892.15,Two year,No
53,98.4,5149.5,Month-to-month,Fiber optic
26,44.45,1183.8,Month-to-month,DSL
67,86.15,5883.85,Two year,DSL
2,84.05,134.05,Month-to-month,Fiber optic
17,82.65,1470.05,Month-to-month,Fiber optic
13,82.0,1127.2,Month-to-month,Fiber optic
71,106.7,7382.25,Two year,Fiber optic
68,58.25,3975.7,One year,DSL
1,19.7,19.7,Month-to-month,No
10,19.95,219.5,One year,No
41,78.45,3126.45,Two year,DSL
31,50.4,1580.1,One year,DSL
11,69.35,712.25,Month-to-month,DSL
1,25.0,25,Month-to-month,No
22,20.15,432.5,Month-to-month,No
57,90.45,5229.8,Two year,Fiber optic
12,51.25,612.1,Month-to-month,DSL
67,25.6,1790.35,Two year,No
29,33.75,1009.25,Month-to-month,DSL
4,20.5,77.6,Month-to-month,No
25,48.25,1293.8,Month-to-month,DSL
72,55.65,3880.05,Two year,DSL
72,89.4,6376.55,Two year,DSL
9,40.75,359.4,Month-to-month,DSL
53,69.7,3686.05,Two year,DSL
68,110.8,7553.6,Two year,Fiber optic
57,53.5,3035.8,One year,DSL
15,25.25,394.85,Month-to-month,No
23,19.65,451.55,Two year,No
12,24.0,269.65,Two year,No
35,53.15,1930.9,One year,DSL
19,89.65,1761.05,Month-to-month,Fiber optic
8,84.5,662.65,Month-to-month,Fiber optic
53,19.65,978,Two year,No
13,20.4,251.65,Month-to-month,No
1,75.3,75.3,Month-to-month,Fiber optic
23,85.6,1868.4,Month-to-month,Fiber optic
14,46.35,672.7,Month-to-month,DSL
30,55.65,1653.85,Two year,DSL
8,19.85,146.6,Two year,No
16,71.4,1212.1,Month-to-month,DSL
58,98.9,5780.7,Month-to-month,Fiber optic
7,99.8,673.25,Month-to-month,Fiber optic
6,98.25,560.6,Month-to-month,Fiber optic
71,81.85,5924.4,Two year,DSL
1,44.9,44.9,Month-to-month,DSL
57,103.05,5925.75,Month-to-month,Fiber optic
1,19.3,19.3,Month-to-month,No
23,20.3,470.6,Month-to-month,No
39,58.6,2224.5,One year,DSL
47,100.75,4669.2,Month-to-month,Fiber optic
11,19.95,214.75,Month-to-month,No
41,88.5,3645.05,Month-to-month,Fiber optic
3,71.1,213.35,Two year,DSL
29,75.35,2243.9,One year,DSL
69,105.1,7234.8,One year,Fiber optic
38,57.15,2250.65,Month-to-month,DSL
16,73.85,1284.2,Month-to-month,Fiber optic
43,78.8,3460.3,Two year,DSL
6,49.25,255.6,One year,DSL
25,26.8,733.55,One year,No
1,70.15,70.15,Month-to-month,Fiber optic
41,94.55,3851.45,Month-to-month,Fiber optic
45,103.65,4747.85,Month-to-month,Fiber optic
5,85.3,420.45,Month-to-month,Fiber optic
45,113.3,5032.25,One year,Fiber optic
44,104.15,4495.65,Month-to-month,Fiber optic
61,73.8,4616.05,Two year,DSL
52,93.25,4631.7,Month-to-month,Fiber optic
6,79.05,434.5,Month-to-month,Fiber optic
64,24.4,1548.65,Two year,No
19,20.15,387.7,Two year,No
71,105.75,7382.85,One year,Fiber optic
45,81.4,3775.85,Month-to-month,Fiber optic
50,101.9,5265.5,One year,Fiber optic
68,118.6,7990.05,Two year,Fiber optic
1,69.65,69.65,Month-to-month,Fiber optic
12,91.3,1094.5,Month-to-month,Fiber optic
33,90.65,2989.6,Month-to-month,Fiber optic
32,91.35,2896.55,Month-to-month,Fiber optic
71,19.6,1387.45,Two year,No
17,92.55,1614.7,Month-to-month,Fiber optic
19,48.95,955.6,One year,DSL
54,74.0,3919.15,Month-to-month,Fiber optic
57,58.75,3437.45,Month-to-month,DSL
68,82.85,5776.45,Two year,DSL
53,48.7,2495.2,Month-to-month,DSL
48,107.4,5121.3,Month-to-month,Fiber optic
36,53.65,1939.35,One year,DSL
35,61.2,2021.2,One year,DSL
67,65.65,4322.85,Two year,DSL
53,46.3,2546.85,Month-to-month,DSL
22,75.8,1615.1,Month-to-month,Fiber optic
30,74.75,2111.3,Month-to-month,DSL
50,100.2,5038.45,Two year,Fiber optic
45,20.35,929.2,Two year,No
29,25.1,712.85,Month-to-month,DSL
12,45.4,518.9,Month-to-month,DSL
3,36.85,108.7,Month-to-month,DSL
1,35.25,35.25,Month-to-month,DSL
2,89.55,185.55,Month-to-month,Fiber optic
27,76.1,2093.4,Month-to-month,Fiber optic
55,85.45,4874.7,Month-to-month,Fiber optic
1,19.9,19.9,Month-to-month,No
4,80.8,332.45,Month-to-month,Fiber optic
55,25.65,1388,Two year,No
8,54.4,475.1,Month-to-month,DSL
70,114.95,7711.25,Two year,Fiber optic
64,47.85,3147.5,Two year,DSL
11,75.9,866.4,Month-to-month,Fiber optic
1,48.55,48.55,Month-to-month,DSL
1,69.75,69.75,Month-to-month,Fiber optic
1,79.95,79.95,Month-to-month,Fiber optic
66,25.7,1714.55,One year,No
13,50.55,610.75,Month-to-month,DSL
72,24.65,1830.05,Two year,No
72,65.6,4566.5,Two year,DSL
52,85.8,4433.3,Month-to-month,Fiber optic
26,85.9,2196.45,Month-to-month,Fiber optic
33,34.05,1113.95,One year,DSL
13,84.6,1115.2,Month-to-month,Fiber optic
13,31.05,347.25,Month-to-month,DSL
27,20.3,595.05,One year,No
66,91.7,6075.9,Two year,DSL
71,114.0,8175.9,Two year,Fiber optic
1,45.3,45.3,Month-to-month,DSL
60,44.45,2773.9,One year,DSL
8,74.5,609.9,Month-to-month,Fiber optic
55,94.45,5073.1,Month-to-month,Fiber optic
71,108.6,7690.9,Two year,Fiber optic
39,59.85,2341.5,Month-to-month,DSL
26,85.7,2067,Month-to-month,Fiber optic
53,60.45,3184.25,One year,DSL
5,99.15,465.05,Month-to-month,Fiber optic
72,104.95,7544.3,One year,Fiber optic
27,74.4,1972.35,Month-to-month,Fiber optic
11,59.65,683.25,Month-to-month,DSL
72,106.85,7677.4,One year,Fiber optic
41,104.45,4162.05,One year,Fiber optic
36,70.7,2511.95,One year,DSL
11,82.9,880.05,Month-to-month,Fiber optic
62,20.0,1250.1,Two year,No
20,24.9,505.95,Month-to-month,DSL
55,45.05,2462.6,One year,DSL
45,51.0,2264.5,One year,DSL
71,109.0,7661.8,Two year,Fiber optic
1,36.45,36.45,Month-to-month,DSL
29,26.1,692.55,Two year,No
10,46.0,492.1,Month-to-month,DSL
11,20.25,208,Month-to-month,No
18,88.35,1639.3,Month-to-month,Fiber optic
72,108.1,7774.05,Two year,Fiber optic
1,43.8,43.8,Month-to-month,DSL
56,99.9,5706.3,Two year,Fiber optic
23,95.3,2192.9,Month-to-month,Fiber optic
18,94.7,1687.95,Month-to-month,Fiber optic
30,91.7,2758.15,Month-to-month,Fiber optic
61,20.55,1252,One year,No
42,25.05,949.85,One year,No
50,84.4,4116.15,Month-to-month,Fiber optic
27,81.3,2272.8,Month-to-month,Fiber optic
1,70.85,70.85,Month-to-month,Fiber optic
45,70.05,3062.45,Month-to-month,DSL
70,105.35,7511.9,Two year,Fiber optic
18,33.5,600,Month-to-month,DSL
3,74.75,238.1,Month-to-month,Fiber optic
39,81.5,3107.3,Month-to-month,Fiber optic
52,19.35,1031.7,Two year,No
4,94.4,387.2,Month-to-month,Fiber optic
68,110.0,7611.85,Two year,Fiber optic
26,19.2,459.6,One year,No
1,50.65,50.65,Month-to-month,DSL
52,20.65,1022.95,One year,No
12,44.55,480.6,Month-to-month,DSL
29,71.0,2080.1,One year,DSL
1,79.7,79.7,Month-to-month,Fiber optic
24,49.55,1210.4,Month-to-month,DSL
65,90.45,5957.9,Two year,DSL
5,51.0,305.95,Month-to-month,DSL
35,19.7,730.4,Two year,No
37,90.6,3358.65,One year,DSL
36,53.1,1901.25,Two year,DSL
4,81.0,340.85,Month-to-month,Fiber optic
70,24.7,1685.9,Two year,No
2,18.75,53.15,Month-to-month,No
4,75.35,273.4,Month-to-month,Fiber optic
71,93.25,6669.45,Month-to-month,Fiber optic
72,89.85,6697.35,Two year,DSL
47,67.45,3252,Month-to-month,DSL
55,58.6,3068.6,Two year,DSL
51,94.65,4812.75,Month-to-month,Fiber optic
72,118.2,8547.15,Two year,Fiber optic
72,114.45,8100.55,Two year,Fiber optic
38,74.05,2802.3,One year,DSL
8,76.15,645.8,Two year,DSL
27,88.3,2467.75,Month-to-month,Fiber optic
6,60.9,414.1,Month-to-month,DSL
17,19.15,343.45,Two year,No
71,19.8,1396.25,Two year,No
42,99.0,4135,Two year,Fiber optic
1,20.35,20.35,Month-to-month,No
70,109.5,7674.55,One year,Fiber optic
9,75.6,661.55,Month-to-month,Fiber optic
1,19.85,19.85,Month-to-month,No
10,40.7,449.3,Month-to-month,DSL
49,94.8,4690.65,Two year,Fiber optic
46,43.95,2007.85,Month-to-month,DSL
46,103.15,4594.65,One year,Fiber optic
4,99.6,347.65,Month-to-month,Fiber optic
71,106.0,7723.7,Two year,Fiber optic
14,61.4,815.55,Two year,DSL
67,54.2,3838.2,Two year,DSL
10,60.2,563.5,Month-to-month,DSL
62,20.05,1201.65,Two year,No
65,89.75,5769.6,One year,Fiber optic
53,60.05,3229.65,One year,DSL
4,19.4,93.4,Month-to-month,No
58,59.9,3505.1,Two year,DSL
1,79.05,79.05,Month-to-month,Fiber optic
72,107.5,7853.7,Two year,Fiber optic
69,106.4,7251.9,One year,Fiber optic
2,79.7,165,Month-to-month,Fiber optic
52,85.15,4461.85,Two year,DSL
8,80.1,679.3,Month-to-month,Fiber optic
72,111.65,7943.45,Two year,Fiber optic
7,44.25,313.45,Month-to-month,DSL
53,98.6,5311.85,One year,Fiber optic
11,70.5,829.3,Month-to-month,DSL
18,33.6,550.35,Month-to-month,DSL
1,20.0,20,Month-to-month,No
63,25.25,1573.05,Two year,No
30,85.15,2555.9,Month-to-month,Fiber optic
1,20.05,20.05,Month-to-month,No
40,64.1,2460.35,Month-to-month,DSL
59,19.5,1147.85,Two year,No
22,63.55,1381.8,Month-to-month,DSL
72,55.45,4179.2,Two year,DSL
14,78.1,1122.4,Month-to-month,Fiber optic
72,110.45,7982.5,Two year,Fiber optic
72,115.05,8405,Two year,Fiber optic
49,74.6,3720.35,Month-to-month,Fiber optic
18,48.35,810.7,Month-to-month,DSL
10,19.9,199.45,Month-to-month,No
8,85.2,627.4,Month-to-month,Fiber optic
7,40.1,293.3,Month-to-month,DSL
2,30.25,63.75,Month-to-month,DSL
34,84.05,2909.95,Month-to-month,Fiber optic
70,66.0,4891.5,Two year,DSL
72,24.55,1750.7,Two year,No
8,29.4,221.9,Month-to-month,DSL
16,93.2,1573.7,Month-to-month,Fiber optic
69,99.5,6841.45,One year,Fiber optic
35,81.6,2815.25,One year,Fiber optic
55,20.0,1087.25,Month-to-month,No
69,19.1,1268.85,Two year,No
2,80.6,155.8,Month-to-month,Fiber optic
72,25.45,1866.45,Two year,No
5,19.95,109.6,Month-to-month,No
10,70.15,735.5,Month-to-month,Fiber optic
57,18.8,1094.35,Two year,No
25,58.6,1502.65,Month-to-month,DSL
63,108.75,6871.7,Month-to-month,Fiber optic
72,80.45,5886.85,Two year,DSL
48,96.9,4473.45,Two year,Fiber optic
49,90.4,4494.65,Month-to-month,Fiber optic
21,20.75,452.2,Month-to-month,No
57,44.85,2572.95,Month-to-month,DSL
21,65.35,1424.4,Month-to-month,DSL
8,64.1,504.05,Month-to-month,DSL
9,85.5,791.7,Month-to-month,Fiber optic
2,94.95,178.1,Month-to-month,Fiber optic
9,94.85,890.6,Month-to-month,Fiber optic
19,99.95,1931.75,Month-to-month,Fiber optic
8,84.95,668.4,Month-to-month,Fiber optic
56,105.45,5916.95,Month-to-month,Fiber optic
21,55.95,1157.05,One year,DSL
60,80.6,4946.7,Two year,DSL
56,52.0,2884.9,One year,DSL
55,20.3,1079.05,Two year,No
55,19.1,1001.5,One year,No
14,74.3,1096.25,Month-to-month,Fiber optic
61,88.65,5321.25,Two year,DSL
66,20.0,1374.2,Two year,No
57,54.65,3134.7,One year,DSL
59,64.65,3735.45,Month-to-month,DSL
49,106.65,5168.1,One year,Fiber optic
68,92.2,6392.85,Two year,DSL
36,74.9,2659.45,Month-to-month,Fiber optic
1,69.55,69.55,Month-to-month,Fiber optic
30,100.45,3096.9,Month-to-month,Fiber optic
71,24.4,1725.4,Two year,No
8,101.15,842.9,Month-to-month,Fiber optic
9,80.85,751.65,Month-to-month,Fiber optic
69,106.5,7348.8,Two year,Fiber optic
67,106.6,7244.7,One year,Fiber optic
24,54.95,1348.5,Month-to-month,DSL
16,71.8,1167.8,Month-to-month,Fiber optic
14,70.2,1046.5,Month-to-month,Fiber optic
34,108.9,3625.2,Month-to-month,Fiber optic
53,19.55,1007.9,One year,No
20,105.85,2239.65,Month-to-month,Fiber optic
24,74.8,1821.2,One year,DSL
64,81.3,5129.3,Two year,DSL
71,23.95,1756.2,Two year,No
8,19.2,161.95,One year,No
65,69.55,4459.15,Two year,DSL
29,48.95,1323.7,Month-to-month,DSL
55,100.9,5448.6,One year,Fiber optic
54,61.0,3283.05,One year,DSL
66,61.35,4193.4,Two year,DSL
31,59.7,1825.5,Month-to-month,DSL
5,78.95,378.4,Month-to-month,Fiber optic
21,61.65,1393.6,Month-to-month,DSL
9,24.6,190.1,Month-to-month,DSL
31,90.7,2845.15,Month-to-month,Fiber optic
49,99.25,4920.8,One year,Fiber optic
11,94.0,1078.9,Month-to-month,Fiber optic
6,93.55,536.4,Month-to-month,Fiber optic
0,20.0, ,Two year,No
57,19.9,1115.6,Two year,No
2,59.0,114.15,Month-to-month,DSL
9,85.35,754.65,Month-to-month,Fiber optic
38,20.3,743.05,Two year,No
39,54.85,2191.7,One year,DSL
17,92.55,1515.1,Month-to-month,Fiber optic
71,25.55,1898.1,Two year,No
45,96.75,4442.75,One year,Fiber optic
33,20.1,670.35,Two year,No
72,20.7,1482.3,Two year,No
29,55.25,1620.2,One year,DSL
71,95.75,6849.4,Two year,Fiber optic
18,103.6,1806.35,Month-to-month,Fiber optic
16,53.9,834.15,Month-to-month,DSL
27,101.25,2754.45,Month-to-month,Fiber optic
4,19.6,93.45,Month-to-month,No
72,26.45,1914.5,Two year,No
47,95.05,4504.55,Month-to-month,Fiber optic
39,81.4,3213.75,One year,Fiber optic
72,105.0,7589.8,Two year,Fiber optic
1,89.3,89.3,Month-to-month,Fiber optic
72,105.0,7578.05,One year,Fiber optic
18,75.4,1380.4,Month-to-month,Fiber optic
71,71.0,5012.1,One year,DSL
42,66.4,2727.8,Month-to-month,DSL
